seq,inv,post,id,prov,doc,header,abbrev,due,w/e,fund,account,cc1,cc2,cc3,debit,credit
2,253609,08/07/2013,2912,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",441.28
1,253610,08/07/2013,2681,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",1323.84,""
2,253610,08/07/2013,2681,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",1323.84
1,253611,08/07/2013,2579,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",598.88,""
2,253611,08/07/2013,2579,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",598.88
1,253612,08/07/2013,2622,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",441.28,""
2,253612,08/07/2013,2622,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",441.28
1,253613,08/07/2013,2622,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",126.08,""
2,253613,08/07/2013,2622,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",126.08
1,253614,08/07/2013,2538,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",157.6,""
2,253614,08/07/2013,2538,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",157.6
1,253615,08/07/2013,2895,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",409.76,""
2,253615,08/07/2013,2895,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",409.76
1,253616,08/07/2013,GNT613,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",283.68,""
2,253616,08/07/2013,GNT613,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",283.68
1,253617,08/07/2013,GNT613,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",157.6,""
2,253617,08/07/2013,GNT613,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",157.6
1,253618,08/07/2013,2682,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",351.96,""
2,253618,08/07/2013,2682,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",351.96
1,253619,08/07/2013,1345,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",330.96,""
2,253619,08/07/2013,1345,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",330.96
1,253620,08/07/2013,2252,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",646.16,""
2,253620,08/07/2013,2252,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",646.16
1,253621,08/07/2013,2683,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",1071.68,""
2,253621,08/07/2013,2683,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",1071.68
1,253622,08/07/2013,2523,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",441.28,""
2,253622,08/07/2013,2523,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",441.28
1,253623,08/07/2013,2539,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",772.24,""
2,253623,08/07/2013,2539,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",772.24
1,253624,08/07/2013,2539,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",346.72,""
2,253624,08/07/2013,2539,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",346.72
1,253625,08/07/2013,2684,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",141.84,""
2,253625,08/07/2013,2684,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",141.84
1,253626,08/07/2013,2638,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",524.02,""
2,253626,08/07/2013,2638,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",524.02
1,253627,08/07/2013,2504,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",283.68,""
2,253627,08/07/2013,2504,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",283.68
1,253628,08/07/2013,2504,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",189.12,""
2,253628,08/07/2013,2504,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",189.12
1,253629,08/07/2013,2946,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",283.68,""
2,253629,08/07/2013,2946,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",283.68
1,253630,08/07/2013,1418,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",378.24,""
2,253630,08/07/2013,1418,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",378.24
1,253631,08/07/2013,2431,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",512.2,""
2,253631,08/07/2013,2431,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",512.2
1,253632,08/07/2013,1640,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",646.16,""
2,253632,08/07/2013,1640,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",646.16
1,253633,08/07/2013,2191,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",1400.0,""
2,253633,08/07/2013,2191,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",1400.0
1,253634,08/07/2013,2636,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",268.16,""
2,253634,08/07/2013,2636,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",268.16
1,253635,08/07/2013,2686,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",251.4,""
2,253635,08/07/2013,2686,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",251.4
1,253636,08/07/2013,2394,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",220.64,""
2,253636,08/07/2013,2394,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",220.64
1,253637,08/07/2013,2439,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",717.08,""
2,253637,08/07/2013,2439,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",717.08
1,253638,08/07/2013,2640,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",338.84,""
2,253638,08/07/2013,2640,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",338.84
1,253639,08/07/2013,2687,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",472.8,""
2,253639,08/07/2013,2687,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",472.8
1,253640,08/07/2013,GNT1034,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",882.56,""
2,253640,08/07/2013,GNT1034,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",882.56
1,253641,08/07/2013,2772,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",504.32,""
2,253641,08/07/2013,2772,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",504.32
1,253642,08/07/2013,1888,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",189.12,""
2,253642,08/07/2013,1888,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",189.12
1,253643,08/07/2013,2567,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",189.12,""
2,253643,08/07/2013,2567,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",189.12
1,253644,08/07/2013,2567,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",63.04,""
2,253644,08/07/2013,2567,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",63.04
1,253645,08/07/2013,GNT057,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",567.36,""
2,253645,08/07/2013,GNT057,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",567.36
1,253646,08/07/2013,GNT057,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",596.0,""
2,253646,08/07/2013,GNT057,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",596.0
1,253647,08/07/2013,2227,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",1103.2,""
2,253647,08/07/2013,2227,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",1103.2
1,253648,08/07/2013,2920,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",236.4,""
2,253648,08/07/2013,2920,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",236.4
1,253649,08/07/2013,2577,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",661.92,""
2,253649,08/07/2013,2577,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",661.92
1,253650,08/07/2013,2542,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",772.24,""
2,253650,08/07/2013,2542,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",772.24
1,253651,08/07/2013,2130,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",204.88,""
2,253651,08/07/2013,2130,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",204.88
1,253652,08/07/2013,2551,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",378.24,""
2,253652,08/07/2013,2551,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",378.24
1,253653,08/07/2013,2544,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",252.16,""
2,253653,08/07/2013,2544,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",252.16
1,253654,08/07/2013,2545,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",189.12,""
2,253654,08/07/2013,2545,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",189.12
1,253655,08/07/2013,2321,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",839.22,""
2,253655,08/07/2013,2321,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",839.22
1,253656,08/07/2013,GNT1065,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",551.6,""
2,253656,08/07/2013,GNT1065,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",551.6
1,253657,08/07/2013,2528,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",63.04,""
2,253657,08/07/2013,2528,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",63.04
1,253658,08/07/2013,2528,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",126.08,""
2,253658,08/07/2013,2528,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",126.08
1,253659,08/07/2013,2506,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",260.04,""
2,253659,08/07/2013,2506,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",260.04
1,253660,08/07/2013,2506,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",86.68,""
2,253660,08/07/2013,2506,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",86.68
1,253661,08/07/2013,2460,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",2080.32,""
2,253661,08/07/2013,2460,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",2080.32
1,253662,08/07/2013,2356,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",756.48,""
2,253662,08/07/2013,2356,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",756.48
1,253663,08/07/2013,2546,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",500.38,""
2,253663,08/07/2013,2546,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",500.38
1,253664,08/07/2013,2547,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",685.56,""
2,253664,08/07/2013,2547,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",685.56
1,253665,08/07/2013,2204,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",15.76,""
2,253665,08/07/2013,2204,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",15.76
1,253666,08/07/2013,2562,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",2647.68,""
2,253666,08/07/2013,2562,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",2647.68
1,253667,08/07/2013,GNT1007,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",858.92,""
2,253667,08/07/2013,GNT1007,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",858.92
1,253668,08/07/2013,2627,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",614.64,""
2,253668,08/07/2013,2627,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",614.64
1,253669,08/07/2013,2503,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",394.0,""
2,253669,08/07/2013,2503,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",394.0
1,253670,08/07/2013,2825,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",851.04,""
2,253670,08/07/2013,2825,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",851.04
1,253671,08/07/2013,GNT1066,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",1051.98,""
2,253671,08/07/2013,GNT1066,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",1051.98
1,253672,08/07/2013,GNT1056,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",1122.9,""
2,253672,08/07/2013,GNT1056,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",1122.9
1,253673,08/07/2013,2556,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",189.12,""
2,253673,08/07/2013,2556,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",189.12
1,253674,08/07/2013,1491,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",1095.32,""
2,253674,08/07/2013,1491,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",1095.32
1,253675,08/07/2013,2603,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",819.52,""
2,253675,08/07/2013,2603,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",819.52
1,253676,08/07/2013,2947,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",295.5,""
2,253676,08/07/2013,2947,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",295.5
1,253677,08/07/2013,2527,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",441.28,""
2,253677,08/07/2013,2527,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",441.28
1,253678,08/07/2013,2530,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,1201,"","","",520.08,""
2,253678,08/07/2013,2530,GUILDNET,08/07/2013,To Record 08/07/2013 Billing,08/13G,08/07/2013,To Rec for W/E  Billing,300,5001,300,"","","",520.08
