101,Predetermination: anticipated payment upon completion of services or claim adjudication.
102,Major Medical Adjustment.
103,"Provider promotional discount (e.g., Senior citizen discount)."
104,Managed care withholding.
105,Tax withholding.
106,Patient payment option/election not in effect.
107,"The related or qualifying claim/service was not identified on this claim. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
108,"Rent/purchase guidelines were not met. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
109,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.
110,Billing date predates service date.
111,Not covered unless the provider accepts assignment.
112,Service not furnished directly to the patient and/or not documented.
113,Payment denied because service/procedure was provided outside the United States or as a result of war.
114,Procedure/product not approved by the Food and Drug Administration.
115,"Procedure postponed, canceled, or delayed."
116,The advance indemnification notice signed by the patient did not comply with requirements.
117,Transportation is only covered to the closest facility that can provide the necessary care.
118,ESRD network support adjustment.
119,Benefit maximum for this time period or occurrence has been reached.
120,Patient is covered by a managed care plan.
121,Indemnification adjustment - compensation for outstanding member responsibility.
122,Psychiatric reduction.
123,Payer refund due to overpayment.
124,Payer refund amount - not our patient.
125,"Submission/billing error(s). At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)"
126,Deductible -- Major Medical
127,Coinsurance -- Major Medical
128,Newborn's services are covered in the mother's Allowance.
129,"Prior processing information appears incorrect. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)"
130,Claim submission fee.
131,Claim specific negotiated discount.
132,Prearranged demonstration project adjustment.
133,The disposition of the claim/service is pending further review. (Use only with Group Code OA)
134,Technical fees removed from charges.
135,Interim bills cannot be processed.
136,Failure to follow prior payer's coverage rules. (Use only with Group Code OA)
137,"Regulatory Surcharges, Assessments, Allowances or Health Related Taxes."
138,Appeal procedures not followed or time limits not met.
139,Contracted funding agreement - Subscriber is employed by the provider of services.
140,Patient/Insured health identification number and name do not match.
141,Claim spans eligible and ineligible periods of coverage.
142,Monthly Medicaid patient liability amount.
143,Portion of payment deferred.
144,"Incentive adjustment, e.g. preferred product/service."
145,Premium payment withholding
146,Diagnosis was invalid for the date(s) of service reported.
147,Provider contracted/negotiated rate expired or not on file.
148,"Information from another provider was not provided or was insufficient/incomplete. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)"
149,Lifetime benefit maximum has been reached for this service/benefit category.
150,Payer deems the information submitted does not support this level of service.
151,Payment adjusted because the payer deems the information submitted does not support this many/frequency of services.
152,"Payer deems the information submitted does not support this length of service. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
153,Payer deems the information submitted does not support this dosage.
154,Payer deems the information submitted does not support this day's supply.
155,Patient refused the service/procedure.
156,Flexible spending account payments. Note: Use code 187.
157,Service/procedure was provided as a result of an act of war.
158,Service/procedure was provided outside of the United States.
159,Service/procedure was provided as a result of terrorism.
160,Injury/illness was the result of an activity that is a benefit exclusion.
161,Provider performance bonus
162,"State-mandated Requirement for Property and Casualty, see Claim Payment Remarks Code for specific explanation."
163,Attachment/other documentation referenced on the claim was not received.
164,Attachment/other documentation referenced on the claim was not received in a timely fashion.
165,Referral absent or exceeded.
166,These services were submitted after this payers responsibility for processing claims under this plan ended.
167,"This (these) diagnosis(es) is (are) not covered. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
168,Service(s) have been considered under the patient's medical plan. Benefits are not available under this dental plan.
169,Alternate benefit has been provided.
170,"Payment is denied when performed/billed by this type of provider. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
171,"Payment is denied when performed/billed by this type of provider in this type of facility. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
172,"Payment is adjusted when performed/billed by a provider of this specialty. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
173,Service/equipment was not prescribed by a physician.
174,Service was not prescribed prior to delivery.
175,Prescription is incomplete.
176,Prescription is not current.
177,Patient has not met the required eligibility requirements.
178,Patient has not met the required spend down requirements.
179,"Patient has not met the required waiting requirements. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
180,Patient has not met the required residency requirements.
181,Procedure code was invalid on the date of service.
182,Procedure modifier was invalid on the date of service.
183,"The referring provider is not eligible to refer the service billed. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
184,"The prescribing/ordering provider is not eligible to prescribe/order the service billed. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
185,"The rendering provider is not eligible to perform the service billed. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
186,Level of care change adjustment.
187,"Consumer Spending Account payments (includes but is not limited to Flexible Spending Account, Health Savings Account, Health Reimbursement Account, etc.)"
188,This product/procedure is only covered when used according to FDA recommendations.
189,'Not otherwise classified' or 'unlisted' procedure code (CPT/HCPCS) was billed when there is a specific procedure code for this procedure/service
190,Payment is included in the allowance for a Skilled Nursing Facility (SNF) qualified stay.
191,"Not a work related injury/illness and thus not the liability of the workers' compensation carrier Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Clai"
192,Non standard adjustment code from paper remittance. Note: This code is to be used by providers/payers providing Coordination of Benefits information to another payer in the 837 transaction only. This code is only used when the non-standard code cannot be 
193,"Original payment decision is being maintained. Upon review, it was determined that this claim was processed properly."
194,"Anesthesia performed by the operating physician, the assistant surgeon or the attending physician."
195,Refund issued to an erroneous priority payer for this claim/service.
196,Claim/service denied based on prior payer's coverage determination.
197,Precertification/authorization/notification absent.
198,Precertification/authorization exceeded.
199,Revenue code and Procedure code do not match.
200,Expenses incurred during lapse in coverage
201,Workers' Compensation case settled. Patient is responsible for amount of this claim/service through WC 'Medicare set aside arrangement' or other agreement. (Use only with Group Code PR)
202,Non-covered personal comfort or convenience services.
203,Discontinued or reduced service.
204,This service/equipment/drug is not covered under the patient’s current benefit plan
205,Pharmacy discount card processing fee
206,National Provider Identifier - missing.
207,National Provider identifier - Invalid format
208,National Provider Identifier - Not matched.
209,"Per regulatory or other agreement. The provider cannot collect this amount from the patient. However, this amount may be billed to subsequent payer. Refund to patient if collected. (Use only with Group code OA)"
210,Payment adjusted because pre-certification/authorization not received in a timely fashion
211,"National Drug Codes (NDC) not eligible for rebate, are not covered."
212,Administrative surcharges are not covered
213,Non-compliance with the physician self referral prohibition legislation or payer policy.
214,"Workers' Compensation claim adjudicated as non-compensable. This Payer not liable for claim or service/treatment. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop"
215,Based on subrogation of a third party settlement
216,Based on the findings of a review organization
217,Based on payer reasonable and customary fees. No maximum allowable defined by legislated fee arrangement. (Note: To be used for Property and Casualty only)
218,"Based on entitlement to benefits. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') for the jurisdictional"
219,"Based on extent of injury. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') for the jurisdictional regula"
220,The applicable fee schedule/fee database does not contain the billed code. Please resubmit a bill with the appropriate fee schedule/fee database code(s) that best describe the service(s) provided and supporting documentation if required. (Note: To be used
221,"Claim is under investigation. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') for the jurisdictional reg"
222,"Exceeds the contracted maximum number of hours/days/units by this provider for this period. This is not patient specific. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
223,"Adjustment code for mandated federal, state or local law/regulation that is not already covered by another code and is mandated before a new code can be created."
224,Patient identification compromised by identity theft. Identity verification required for processing this and future claims.
225,Penalty or Interest Payment by Payer (Only used for plan to plan encounter reporting within the 837)
226,"Information requested from the Billing/Rendering Provider was not provided or not provided timely or was insufficient/incomplete. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Rema"
227,"Information requested from the patient/insured/responsible party was not provided or was insufficient/incomplete. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is "
228,"Denied for failure of this provider, another provider or the subscriber to supply requested information to a previous payer for their adjudication"
229,Partial charge amount not considered by Medicare due to the initial claim Type of Bill being 12X. Note: This code can only be used in the 837 transaction to convey Coordination of Benefits information when the secondary payer's cost avoidance policy allow
230,No available or correlating CPT/HCPCS code to describe this service. Note: Used only by Property and Casualty.
231,"Mutually exclusive procedures cannot be done in the same day/setting. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
232,Institutional Transfer Amount. Note - Applies to institutional claims only and explains the DRG amount difference when the patient care crosses multiple institutions.
233,Services/charges related to the treatment of a hospital-acquired condition or preventable medical error.
234,"This procedure is not paid separately. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)"
235,Sales Tax
236,This procedure or procedure/modifier combination is not compatible with another procedure or procedure/modifier combination provided on the same day according to the National Correct Coding Initiative or workers compensation state regulations/ fee schedul
237,"Legislated/Regulatory Penalty. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)"
238,"Claim spans eligible and ineligible periods of coverage, this is the reduction for the ineligible period. (Use only with Group Code PR)"
239,Claim spans eligible and ineligible periods of coverage. Rebill separate claims.
240,"The diagnosis is inconsistent with the patient's birth weight. Note: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present."
241,Low Income Subsidy (LIS) Co-payment Amount
242,Services not provided by network/primary care providers.
243,Services not authorized by network/primary care providers.
244,Payment reduced to zero due to litigation. Additional information will be sent following the conclusion of litigation. To be used for Property & Casualty only.
245,Provider performance program withhold.
246,This non-payable code is for required reporting only.
247,Deductible for Professional service rendered in an Institutional setting and billed on an Institutional claim.
248,Coinsurance for Professional service rendered in an Institutional setting and billed on an Institutional claim.
249,This claim has been identified as a readmission. (Use only with Group Code CO)
250,The attachment/other documentation content received is inconsistent with the expected content.
251,The attachment/other documentation content received did not contain the content required to process this claim or service.
252,"An attachment/other documentation is required to adjudicate this claim/service. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT)."
253,Sequestration - reduction in federal payment
254,"Claim received by the dental plan, but benefits not available under this plan. Submit these services to the patient's medical plan for further consideration."
255,The disposition of the related Property & Casualty claim (injury or illness) is pending due to litigation. (Use only with Group Code OA)
256,Service not payable per managed care contract.
257,"The disposition of the claim/service is pending during the premium payment grace period, per Health Insurance Exchange requirements. (Use only with Group Code OA)"
258,"Claim/service not covered when patient is in custody/incarcerated. Applicable federal, state or local authority may cover the claim/service."
,
